Gene	VarianceMedian_Islands	VarianceMedian_PocilloGG	VarianceMedian_SymbioGG	sd_Islands	sd_PocilloGG	sd_SymbioGG	Q1_Islands	Q1_PocilloGG	Q1_SymbioGG	Q3_Islands	Q3_PocilloGG	Q3_SymbioGG	Residuals
Pmea_00010258	0.50885	0.0517	0	0.0991705260211578	0.0139298567142957	0.124009469351695	0.5065	0.050275	0	0.512075	0.054925	0	0.43945
Pmea_00030788	0.1297	0.50885	0	0.00905530170059998	0.0107559957909319	0	0.123375	0.502725	0	0.133925	0.512825	0	0.36145
Pmea_00001668	0.5088	0	0	0.0202582577251995	0	0.00768759304780676	0.506425	0	0	0.514525	0	0	0.4912
Pmea_00029703	0.5088	0.2328	0	0.0166993113932911	0.0223183698401839	0	0.504575	0.230175	0	0.51205	0.2361	0	0.2584
Pmea_00010082	0.5087	0.0464	0.00915	0.0132842540268735	0.010999709638041	0.00820456610982598	0.502775	0.042375	0.004	0.51585	0.0491	0.0121	0.43575
Pmea_00006516	0.5086	0	0	0.0105241135330519	0.00301732556005373	0.00939732478587992	0.5037	0	0	0.5139	9e-04	0	0.4914
Pmea_00024429	0.50855	0	0.06495	0.0130810642695555	0	0.00985910126622999	0.505475	0	0.0603	0.5178	0	0.0681	0.4265
Pmea_00025469	0.5085	0.1565	0	0.0607480502742369	0.0289717918540142	0.0917011068305034	0.5027	0.1536	0	0.51135	0.16015	0	0.335
Pmea_00028439	0.0314	0.5083	0.3566	0.0113519978217693	0.0488916817510345	0.024801309919788	0.029175	0.506225	0.35415	0.032425	0.5124	0.361525	0.1037
Pmea_00035068	0.5083	0	0.11275	0.0124542084891377	0.0276853529265326	0.0249811841111657	0.504675	0	0.108525	0.51415	0	0.1159	0.37895
Pmea_00009096	0.5082	0.0974	0	0.0180192201257267	0.0126537564191489	0	0.504675	0.094375	0	0.51235	0.102	0	0.3944
Pmea_00016881	0.1719	0.5081	0	0.00645297237908644	0.00944394220886832	0.0038106178082836	0.1672	0.503375	0	0.1758	0.5126	0	0.32
Pmea_00002731	0.50805	0.0701	0.037	0.00936919145310034	0.0235561439796907	0.0182861230986723	0.503075	0.06235	0.032925	0.513	0.07735	0.043675	0.38485
Pmea_00017115	0.50805	0.02085	0	0.012400263763894	0.00846472681189417	0	0.50425	0.019775	0	0.51435	0.0259	0	0.4711
Pmea_00013951	0.09015	0.508	0	0.0111640535612828	0.010408210822483	0	0.0886	0.506175	0	0.092125	0.509525	0	0.40185
Pmea_00019241	0.00035	0.5078	0	0.00368394427951149	0.0121571019273809	0	0	0.506	0	0.00375	0.5115	0	0.49185
Pmea_00027755	0.5078	0.17365	0	0.0117628588567936	0.00822443090045528	0.000281231059968328	0.50385	0.170975	0	0.513675	0.177775	0	0.31855
Pmea_00009193	0.5077	0	0	0.00970985519350252	0	0.00560360490031086	0.503975	0	0	0.51265	0	0	0.4923
Pmea_00010251	0.50765	0.0929	0	0.0338455798704598	0.025322220269833	0	0.50515	0.090875	0	0.513125	0.0955	0	0.39945
Pmea_00019630	0.0751	0.50765	0	0.0100142554451747	0.0132820350683002	0	0.07195	0.50565	0	0.07765	0.5141	0	0.41725
Pmea_00020985	0.1955	0.5075	0	0.00679293535278165	0.0516051560633551	0.0418	0.19335	0.504825	0	0.1994	0.510425	0	0.297
Pmea_00035396	0.50745	0	0	0.0191797256961036	0.00041	0	0.5048	0	0	0.51395	0	0	0.49255
